"sic","sicDescription","count"
"2030","Canned, Frozen & Preservd Fruit, Veg & Food Specialties","37"
"6510","Real Estate Operators (No Developers) & Lessors","37"
"3851","Ophthalmic Goods","36"
"3350","Rolling Drawing & Extruding of  Nonferrous Metals","36"
"2390","Miscellaneous Fabricated Textile Products","35"
"2430","Millwood, Veneer, Plywood, & Structural Wood Members","35"
"3570","Computer & office Equipment","35"
"5080","Wholesale-Machinery, Equipment & Supplies","35"
"4210","Trucking & Courier Services (No Air)","34"
"3531","Construction Machinery & Equip","34"
"8700","Services-Engineering, Accounting, Research, Management","34"
"3827","Optical Instruments & Lenses","34"
"6099","Functions Related To Depository Banking, NEC","34"
"3540","Metalworkg Machinery & Equipment","33"
"2842","Specialty Cleaning, Polishing and Sanitation Preparations","33"
"7000","Hotels, Rooming Houses, Camps & Other Lodging Places","32"
"0800","Forestry","32"
"5731","Retail-Radio, Tv & Consumer Electronics Stores","32"
"5084","Wholesale-Industrial Machinery & Equipment","32"
"1540","General Bldg Contractors - Nonresidential Bldgs","31"
"8060","Services-Hospitals","31"
"3634","Electric Housewares & Fans","31"
"3440","Fabricated Structural Metal Products","31"
"0200","Agricultural Prod-Livestock & Animal Specialties","31"
"3320","Iron & Steel Foundries","30"
"5040","Wholesale-Professional & Commercial Equipment & Supplies","30"
"8734","Services-Testing Laboratories","30"
"3060","Fabricated Rubber Products, NEC","30"
"2820","Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)","30"
"6172","Finance Lessors","30"
"3843","Dental Equipment & Supplies","30"
"7361","Services-Employment Agencies","30"
"4900","Electric, Gas & Sanitary Services","30"
"7340","Services-To Dwellings & Other Buildings","30"
"3334","Primary Production of  Aluminum","29"
"2761","Manifold Business Forms","29"
"6163","Loan Brokers","29"
"3443","Fabricated Plate Work (Boiler Shops)","28"
"2211","Broadwoven Fabric Mills, Cotton","28"
"6792","Oil Royalty Traders","28"
"5110","Wholesale-Paper & Paper Products","28"
"3822","Auto Controls For Regulating Residential & Comml Environments","28"
"5944","Retail-Jewelry Stores","28"
"3433","Heating Equipment, Except Electric & Warm Air Furnaces","28"
"5070","Wholesale-Hardware & Plumbing & Heating Equipment & Supplies","27"
