"sic","sicDescription","count"
"2621","Paper Mills","5"
"3944","Games, Toys & Children's Vehicles (No Dolls & Bicycles)","5"
"2711","Newspapers: Publishing or  Publishing & Printing","5"
"5211","Retail-Lumber & Other Building Materials Dealers","5"
"6159","Miscellaneous Business Credit Institution","5"
"2650","Paperboard Containers & Boxes","5"
"8734","Services-Testing Laboratories","5"
"3844","X-Ray Apparatus & Tubes & Related Irradiation Apparatus","5"
"1221","Bituminous Coal & Lignite Surface Mining","5"
"4932","Gas & Other Services Combined","5"
"3100","Leather & Leather Products","5"
"5084","Wholesale-Industrial Machinery & Equipment","5"
"4822","Telegraph & Other Message Communications","5"
"1220","Silver Ores","5"
"6321","Accident & Health Insurance","4"
"3470","Coating, Engraving & Allied Services","4"
"3411","Metal Cans","4"
"0200","Agricultural Prod-Livestock & Animal Specialties","4"
"5661","Retail-Shoe Stores","4"
"2082","Malt Beverages","4"
"3357","Drawing & Insulating of  Nonferrous Wire","4"
"5311","Retail-Department Stores","4"
"5160","Wholesale-Chemicals & Allied Products","4"
"2060","Sugar & Confectionery Products","4"
"3678","Electronic Connectors","4"
"7830","Services-Motion Picture Theaters","4"
"2400","Lumber & Wood Products (No Furniture)","4"
"3360","Nonferrous Foundries (Castings)","4"
"7350","Services-Miscellaneous Equipment Rental & Leasing","4"
"2451","Mobile Homes","4"
"3460","Metal Forgings & Stampings","4"
"3550","Special Industry Machinery (No Metalworking Machinery)","4"
"2851","Paints, Varnishes, Lacquers, Enamels & Allied Prods","4"
"6361","Title Insurance","4"
"5130","Wholesale-Apparel, Piece Goods & Notions","4"
"8700","Services-Engineering, Accounting, Research, Management","4"
"5944","Retail-Jewelry Stores","4"
"5051","Wholesale-Metals Service Centers & of fices","4"
"3021","Rubber & Plastics Footwear","4"
"3843","Dental Equipment & Supplies","4"
"5180","Wholesale-Beer, Wine & Distilled Alcoholic Beverages","4"
"3634","Electric Housewares & Fans","4"
"5090","Wholesale-Misc Durable Goods","4"
"3317","Steel Pipe & Tubes","4"
"7841","Services-Video Tape Rental","4"
"5010","Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies","4"
"6510","Real Estate Operators (No Developers) & Lessors","4"
"7997","Services-Membership Sports & Recreation Clubs","4"
"6799","Investors, NEC","4"
"7000","Hotels, Rooming Houses, Camps & Other Lodging Places","4"
"5072","Wholesale-Hardware","4"
"2013","Sausages & Other Prepared Meat Products","3"
"2511","Wood Household Furniture, (No Upholstered)","3"
"2842","Specialty Cleaning, Polishing and Sanitation Preparations","3"
"2273","Carpets & Rugs","3"
"2820","Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)","3"
"8050","Services-Nursing & Personal Care Facilities","3"
"3570","Computer & office Equipment","3"
"2011","Meat Packing Plants","3"
"3442","Metal Doors, Sash, Frames, Moldings & Trim","3"
"3430","Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures","3"
"6513","Operators of  Apartment Buildings","3"
"5047","Wholesale-Medical, Dental & Hospital Equipment & Supplies","3"
"3613","Switchgear & Switchboard Apparatus","3"
"2033","Canned, Fruits, Veg, Preserves, Jams & Jellies","3"
"2731","Books: Publishing or  Publishing & Printing","3"
"6111","Federal & Federally-Sponsored Credit Agencies","3"
"5000","Wholesale-Durable Goods","3"
"5700","Retail-Home Furniture, Furnishings & Equipment Stores","3"
"4513","Air Courier Services","3"
"3060","Fabricated Rubber Products, NEC","3"
"2100","Tobacco Products","3"
"3272","Concrete Products, Except Block & Brick","3"
"3790","Miscellaneous Transportation Equipment","3"
"6519","Lessors of  Real Property, NEC","3"
"6099","Functions Related To Depository Banking, NEC","3"
"2741","Miscellaneous Publishing","3"
"4950","Sanitary Services","3"
"8051","Services-Skilled Nursing Care Facilities","3"
"5734","Retail-Computer & Computer Software Stores","3"
"7819","Services-Allied To Motion Picture Production","3"
"8744","Services-Facilities Support Management Services","3"
"6399","Insurance Carriers, NEC","3"
"3720","Aircraft & Parts","2"
"3824","Totalizing Fluid Meters & Counting Devices","2"
"5621","Retail-Women's Clothing Stores","2"
"7948","Services-Racing, Including Track Operation","2"
"3530","Construction, Mining & Materials Handling Machinery & Equip","2"
"2211","Broadwoven Fabric Mills, Cotton","2"
"2780","Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work","2"
"3412","Metal Shipping Barrels, Drums, Kegs & Pails","2"
"2891","Adhesives & Sealants","2"
"5013","Wholesale-Motor Vehicle Supplies & New Parts","2"
"7331","Services-Direct Mail Advertising Services","2"
"3873","Watches, Clocks, Clockwork Operated Devices/Parts","2"
"2990","Miscellaneous Products of  Petroleum & Coal","2"
"3537","Industrial Trucks, Tractors, Trailors & Stackers","2"
"3562","Ball & Roller Bearings","2"
"2015","Poultry Slaughtering and Processing","2"
"3330","Primary Smelting & Refining of  Nonferrous Metals","2"
"5731","Retail-Radio, Tv & Consumer Electronics Stores","2"
"3716","Motor Homes","2"
"2024","Ice Cream & Frozen Desserts","2"
"5070","Wholesale-Hardware & Plumbing & Heating Equipment & Supplies","2"
"7600","Services-Miscellaneous Repair Services","2"
"8060","Services-Hospitals","2"
"2020","Dairy Products","2"
"7822","Services-Motion Picture & Video Tape Distribution","2"
"4991","Cogeneration Services & Small Power Producers","2"
"3433","Heating Equipment, Except Electric & Warm Air Furnaces","2"
"2421","Sawmills & Planting Mills, General","2"
"3334","Primary Production of  Aluminum","2"
"5945","Retail-Hobby, Toy & Game Shops","2"
"3822","Auto Controls For Regulating Residential & Comml Environments","2"
"9995","Non-Operating Establishments","2"
"5040","Wholesale-Professional & Commercial Equipment & Supplies","2"
"4900","Electric, Gas & Sanitary Services","2"
"5171","Wholesale-Petroleum Bulk Stations & Terminals","2"
"2721","Periodicals: Publishing or  Publishing & Printing","2"
"5094","Wholesale-Jewelry, Watches, Precious Stones & Metals","2"
"3910","Jewelry, Silverware & Plated Ware","2"
